
[DEBUG][News_Collect.cpp:505][main]    处理日期: 
[DEBUG][News_Collect.cpp:506][main]    日志路径:/home/mawx/News_Collect/bin_News_Select.log 
[DEBUG][News_Collect.cpp:507][main]    搜索[rmrb] 
[DEBUG][News_Collect.cpp:530][main]    人民日报
[DEBUG][News_Collect.cpp:537][main]    开始阅读报纸
[DEBUG][News_Collect_rmrb.h:221][ReadNewsPaper]    sTmp_Cmd=[mkdir -p 20180825人民日报]
[DEBUG][News_Collect_rmrb.h:55][Get_NextReading_NewspaperAdreess]    Get_NextReading_NewspaperAdreess=[http://paper.people.com.cn/rmrb/html/2018-08/25/nw.D110000renmrb_20180825_1-01.htm].
[DEBUG][News_Collect_rmrb.h:235][ReadNewsPaper]    this->sNextRead_Address=[http://paper.people.com.cn/rmrb/html/2018-08/25/nw.D110000renmrb_20180825_1-01.htm]
[DEBUG][News_Collect_rmrb.h:76][Get_NextReading_File]    Get_NextReading_File=[D110000renmrb_20180825_1-01.htm].
[DEBUG][News_Collect.cpp:285][Get_Something_NewspaperAdreess_ToFile]    aczShellCmd=[wget http://paper.people.com.cn/rmrb/html/2018-08/25/nw.D110000renmrb_20180825_1-01.htm -O D110000renmrb_20180825_1-01.htm]
[ERROR][News_Collect.cpp:296][Get_Something_NewspaperAdreess_ToFile]    system succ, aczShellCmd=[wget http://paper.people.com.cn/rmrb/html/2018-08/25/nw.D110000renmrb_20180825_1-01.htm -O D110000renmrb_20180825_1-01.htm].
[DEBUG][News_Collect_rmrb.h:249][ReadNewsPaper]    news into file succ
[DEBUG][News_Collect_rmrb.h:259][ReadNewsPaper]    sTmp_Cmd=[sed ":a;N;s/<\/P>\n<P>/<\/P><P>/g;$!ba" D110000renmrb_20180825_1-01.htm > D110000renmrb_20180825_1-01.htm.tmp ; cp D110000renmrb_20180825_1-01.htm.tmp D110000renmrb_20180825_1-01.htm; rm -rf D110000renmrb_20180825_1-01.htm.tmp;]
[DEBUG][News_Collect_rmrb.h:133][ReadNewsPaper_Date]    开始阅读该篇报道
[DEBUG][News_Collect_rmrb.h:156][ReadNewsPaper_Date]    无新闻内容
[DEBUG][News_Collect_rmrb.h:170][ReadNewsPaper_Date]    无新闻标题
[DEBUG][News_Collect_rmrb.h:156][ReadNewsPaper_Date]    无新闻内容
[DEBUG][News_Collect_rmrb.h:170][ReadNewsPaper_Date]    无新闻标题
[DEBUG][News_Collect_rmrb.h:156][ReadNewsPaper_Date]    无新闻内容
[DEBUG][News_Collect_rmrb.h:170][ReadNewsPaper_Date]    无新闻标题
[DEBUG][News_Collect_rmrb.h:156][ReadNewsPaper_Date]    无新闻内容
[DEBUG][News_Collect_rmrb.h:170][ReadNewsPaper_Date]    无新闻标题
[DEBUG][News_Collect_rmrb.h:156][ReadNewsPaper_Date]    无新闻内容
[DEBUG][News_Collect_rmrb.h:170][ReadNewsPaper_Date]    无新闻标题
[DEBUG][News_Collect_rmrb.h:156][ReadNewsPaper_Date]    无新闻内容
[DEBUG][News_Collect_rmrb.h:170][ReadNewsPaper_Date]    无新闻标题
[DEBUG][News_Collect_rmrb.h:156][ReadNewsPaper_Date]    无新闻内容
[DEBUG][News_Collect_rmrb.h:170][ReadNewsPaper_Date]    无新闻标题
[DEBUG][News_Collect_rmrb.h:156][ReadNewsPaper_Date]    无新闻内容
[DEBUG][News_Collect_rmrb.h:170][ReadNewsPaper_Date]    无新闻标题
[DEBUG][News_Collect_rmrb.h:156][ReadNewsPaper_Date]    无新闻内容
[DEBUG][News_Collect_rmrb.h:170][ReadNewsPaper_Date]    无新闻标题
[DEBUG][News_Collect_rmrb.h:156][ReadNewsPaper_Date]    无新闻内容
[DEBUG][News_Collect_rmrb.h:170][ReadNewsPaper_Date]    无新闻标题
[DEBUG][News_Collect_rmrb.h:156][ReadNewsPaper_Date]    无新闻内容
